0,1,82,107
1,0,82,107
0,2,193,51
2,0,193,51
0,3,140,122
3,0,140,122
0,4,169,168
4,0,169,168
0,5,106,182
5,0,106,182
0,6,147,200
6,0,147,200
0,7,188,125
7,0,188,125
0,8,101,118
8,0,101,118
0,9,121,151
9,0,121,151
1,2,171,62
2,1,171,62
1,3,104,96
3,1,104,96
1,4,80,194
4,1,80,194
1,5,193,194
5,1,193,194
1,6,191,53
6,1,191,53
1,7,70,103
7,1,70,103
1,8,75,150
8,1,75,150
1,9,65,108
9,1,65,108
2,3,157,181
3,2,157,181
2,4,83,143
4,2,83,143
2,5,130,103
5,2,130,103
2,6,169,150
6,2,169,150
2,7,83,128
7,2,83,128
2,8,164,187
8,2,164,187
2,9,138,96
9,2,138,96
3,4,156,188
4,3,156,188
3,5,69,192
5,3,69,192
3,6,100,89
6,3,100,89
3,7,107,52
7,3,107,52
3,8,136,190
8,3,136,190
3,9,76,168
9,3,76,168
4,5,158,72
5,4,158,72
4,6,79,134
6,4,79,134
4,7,91,147
7,4,91,147
4,8,81,85
8,4,81,85
4,9,113,195
9,4,113,195
5,6,108,65
6,5,108,65
5,7,104,108
7,5,104,108
5,8,128,62
8,5,128,62
5,9,108,176
9,5,108,176
6,7,116,194
7,6,116,194
6,8,148,177
8,6,148,177
6,9,113,193
9,6,113,193
7,8,66,72
8,7,66,72
7,9,73,113
9,7,73,113
8,9,119,73
9,8,119,73
