0,1,100,154
1,0,100,154
0,2,103,115
2,0,103,115
0,3,166,183
3,0,166,183
0,4,95,72
4,0,95,72
0,5,192,99
5,0,192,99
0,6,154,169
6,0,154,169
0,7,63,57
7,0,63,57
0,8,86,144
8,0,86,144
0,9,107,196
9,0,107,196
1,2,126,56
2,1,126,56
1,3,82,129
3,1,82,129
1,4,198,104
4,1,198,104
1,5,175,73
5,1,175,73
1,6,153,72
6,1,153,72
1,7,160,138
7,1,160,138
1,8,89,117
8,1,89,117
1,9,121,85
9,1,121,85
2,3,90,127
3,2,90,127
2,4,116,88
4,2,116,88
2,5,169,125
5,2,169,125
2,6,129,184
6,2,129,184
2,7,185,112
7,2,185,112
2,8,185,144
8,2,185,144
2,9,119,99
9,2,119,99
3,4,117,188
4,3,117,188
3,5,194,147
5,3,194,147
3,6,93,132
6,3,93,132
3,7,109,73
7,3,109,73
3,8,79,172
8,3,79,172
3,9,167,188
9,3,167,188
4,5,88,191
5,4,88,191
4,6,178,179
6,4,178,179
4,7,54,78
7,4,54,78
4,8,184,85
8,4,184,85
4,9,100,152
9,4,100,152
5,6,86,187
6,5,86,187
5,7,184,90
7,5,184,90
5,8,155,194
8,5,155,194
5,9,144,85
9,5,144,85
6,7,163,166
7,6,163,166
6,8,179,110
8,6,179,110
6,9,191,116
9,6,191,116
7,8,145,69
8,7,145,69
7,9,101,152
9,7,101,152
8,9,109,50
9,8,109,50
