0,1,83,88
1,0,83,88
0,2,59,24
2,0,59,24
0,3,7,33
3,0,7,33
0,4,10,26
4,0,10,26
0,5,7,83
5,0,7,83
0,6,40,14
6,0,40,14
0,7,14,90
7,0,14,90
1,2,23,25
2,1,23,25
1,3,28,40
3,1,28,40
1,4,51,79
4,1,51,79
1,5,23,63
5,1,23,63
1,6,81,8
6,1,81,8
1,7,14,10
7,1,14,10
2,3,92,33
3,2,92,33
2,4,92,55
4,2,92,55
2,5,63,82
5,2,63,82
2,6,15,77
6,2,15,77
2,7,58,77
7,2,58,77
3,4,58,45
4,3,58,45
3,5,30,83
5,3,30,83
3,6,40,79
6,3,40,79
3,7,82,32
7,3,82,32
4,5,41,73
5,4,41,73
4,6,90,36
6,4,90,36
4,7,34,36
7,4,34,36
5,6,65,98
6,5,65,98
5,7,39,57
7,5,39,57
6,7,90,24
7,6,90,24
