0,1,73,65
1,0,73,65
0,2,85,59
2,0,85,59
0,3,6,65
3,0,6,65
0,4,68,8
4,0,68,8
0,5,83,10
5,0,83,10
0,6,34,50
6,0,34,50
0,7,39,10
7,0,39,10
0,8,8,71
8,0,8,71
0,9,94,29
9,0,94,29
1,2,40,62
2,1,40,62
1,3,11,32
3,1,11,32
1,4,97,25
4,1,97,25
1,5,66,55
5,1,66,55
1,6,66,98
6,1,66,98
1,7,15,94
7,1,15,94
1,8,69,89
8,1,69,89
1,9,97,16
9,1,97,16
2,3,14,42
3,2,14,42
2,4,78,47
4,2,78,47
2,5,76,68
5,2,76,68
2,6,90,71
6,2,90,71
2,7,51,27
7,2,51,27
2,8,47,99
8,2,47,99
2,9,92,88
9,2,92,88
3,4,23,67
4,3,23,67
3,5,86,31
5,3,86,31
3,6,25,83
6,3,25,83
3,7,60,38
7,3,60,38
3,8,48,71
8,3,48,71
3,9,21,49
9,3,21,49
4,5,35,11
5,4,35,11
4,6,30,67
6,4,30,67
4,7,20,40
7,4,20,40
4,8,7,11
8,4,7,11
4,9,57,5
9,4,57,5
5,6,30,40
6,5,30,40
5,7,66,99
7,5,66,99
5,8,33,22
8,5,33,22
5,9,84,29
9,5,84,29
6,7,19,93
7,6,19,93
6,8,100,20
8,6,100,20
6,9,25,96
9,6,25,96
7,8,22,91
8,7,22,91
7,9,77,16
9,7,77,16
8,9,54,48
9,8,54,48
