0,1,55,83
1,0,55,83
0,2,47,46
2,0,47,46
0,3,26,43
3,0,26,43
0,4,43,65
4,0,43,65
0,5,35,45
5,0,35,45
0,6,8,92
6,0,8,92
0,7,36,63
7,0,36,63
0,8,51,30
8,0,51,30
0,9,67,27
9,0,67,27
1,2,23,59
2,1,23,59
1,3,80,82
3,1,80,82
1,4,30,91
4,1,30,91
1,5,43,41
5,1,43,41
1,6,30,11
6,1,30,11
1,7,87,39
7,1,87,39
1,8,24,73
8,1,24,73
1,9,70,100
9,1,70,100
2,3,32,90
3,2,32,90
2,4,37,37
4,2,37,37
2,5,61,50
5,2,61,50
2,6,83,5
6,2,83,5
2,7,64,36
7,2,64,36
2,8,45,61
8,2,45,61
2,9,45,5
9,2,45,5
3,4,31,18
4,3,31,18
3,5,97,30
5,3,97,30
3,6,90,31
6,3,90,31
3,7,9,26
7,3,9,26
3,8,42,8
8,3,42,8
3,9,57,32
9,3,57,32
4,5,45,19
5,4,45,19
4,6,19,90
6,4,19,90
4,7,89,90
7,4,89,90
4,8,29,23
8,4,29,23
4,9,77,10
9,4,77,10
5,6,43,75
6,5,43,75
5,7,72,79
7,5,72,79
5,8,42,14
8,5,42,14
5,9,18,7
9,5,18,7
6,7,74,57
7,6,74,57
6,8,73,83
8,6,73,83
6,9,70,66
9,6,70,66
7,8,72,41
8,7,72,41
7,9,15,95
9,7,15,95
8,9,88,70
9,8,88,70
